sr. no.,Country,text,timestamp,tweet_url,likes,retweets,Related to Covid,Tweet Type,Tweet Sub-Type
14,Australia,"Thanks for the call @realDonaldTrump and for your strong messages of sympathy, support and friendship for Australia during our terrible bushfire season. Thanks also to the American people for their many messages of support. Australia and the US are great mates.  ",2020-01-07 02:31:34,/ScottMorrisonMP/status/1214373985988698112,54929,8645,No,,
15,Australia,Thanks for the call from Polish Prime Minister Mateusz Morawiecki last night and for passing on your deep condolences and offers of support.https://twitter.com/AusAmbPoland/status/1214540545143345154 …,2020-01-07 22:12:34,/ScottMorrisonMP/status/1214671191870332930,775,123,No,,
16,Australia,Thank you @ClarenceHouse. Grateful to you and the Royal Family for your sympathies and support.https://twitter.com/ClarenceHouse/status/1214611328943439873 …,2020-01-07 22:22:20,/ScottMorrisonMP/status/1214673652634927104,1176,171,No,,
17,Australia,pic.twitter.com/SIJGHpidVc,2020-01-08 00:50:09,/ScottMorrisonMP/status/1214710850537152512,1476,364,No,,
18,Australia,Another example of the amazing spirit of Australia on display. Well done Will & Jack.https://twitter.com/7NewsSydney/status/1215038931462307840 …,2020-01-09 08:38:11,/ScottMorrisonMP/status/1215191020347916288,787,84,No,,
19,Australia,Awesome. Thanks and well done Tamsyn.https://twitter.com/ShaneFitzAU/status/1215180209915215872 …,2020-01-09 10:08:35,/ScottMorrisonMP/status/1215213771309768704,1182,108,No,,
20,Australia,"Initial payments of $1 million will be made available immediately to 42 local councils most severely impacted by the current bushfire disaster. This is just the start of our support for local communities, in what we know will be a long recovery.",2020-01-09 10:25:08,/ScottMorrisonMP/status/1215217935586775041,1022,127,No,,
21,Australia,Stay alert. Stay informed. Listen to instructions and stay safe.https://twitter.com/NSWRFS/status/1215218398096850944 …,2020-01-09 20:00:23,/ScottMorrisonMP/status/1215362705176981504,587,114,No,,
22,Australia,Thank you UAE for your condolences and offers of support.https://twitter.com/MohamedBinZayed/status/1214594752399757313 …,2020-01-09 22:52:14,/ScottMorrisonMP/status/1215405948925181952,619,174,No,,
23,Australia,Thank you to our US friends.https://twitter.com/ShaneFitzAU/status/1215194398721368065 …,2020-01-09 22:52:43,/ScottMorrisonMP/status/1215406073823158272,1698,239,No,,
24,Australia,"We are deeply grateful for the support from our Pacific family, including PNG, Fiji, Vanuatu, Solomon Islands, Nauru & Samoa to help us fight the ongoing #bushfires. Thanks to all governments & people of the Pacific region who have sent heartfelt messages & offers of assistance.",2020-01-10 05:34:17,/ScottMorrisonMP/status/1215507128313466882,1766,212,No,,
25,Australia,"Thank you Saudi Arabia for your heartfelt condolences and offer of assistance, and for all the generous offers of help from our international friends.https://twitter.com/KSAmofaEN/status/1215265448704577536 …",2020-01-10 06:20:18,/ScottMorrisonMP/status/1215518711269883904,3087,1370,No,,
26,Australia,"Tomorrow I’ll be appearing live on @abcnews for an in-depth discussion with @David_Speers on the national bushfire crisis. The broadcast is also being made available to other networks, including on radio. You can tune in from 8:30am.",2020-01-11 08:28:16,/ScottMorrisonMP/status/1215913301940436992,1836,254,No,,
27,Australia,"These terrible bushfires have taken a traumatic emotional toll on our people. That’s why today we’re putting an initial $76 million into immediately providing more mental health support services to firefighters, emergency personnel, and others impacted by the ongoing disaster.",2020-01-12 02:02:44,/ScottMorrisonMP/status/1216178667077824512,2013,254,No,,
28,Australia,"Will Hodgman is a Tasmanian and Liberal legend. He has led an extraordinary turnaround in Tasmania and has set his state up for the future. As Australia’s senior Premier, he will be greatly missed around the COAG table where he made a tremendous contribution.pic.twitter.com/yE3HI1NbPT",2020-01-14 06:50:05,/ScottMorrisonMP/status/1216975757328543744,888,83,No,,
29,Australia,"We’re doubling bushfire disaster recovery payments for children, as part of the $58m package announced today to support  families and communities affected by the ongoing bushfire disaster http://aus.pm/80hu ",2020-01-15 09:28:24,/ScottMorrisonMP/status/1217377987433132032,917,136,No,,
30,Australia,"In times like this, when we’re seeing such devastation from these terrible bushfires, people turn to our amazing charities for help along with their governments. Today we met in Canberra with those charities to align what we’re doing & ensure help is getting where it’s needed.pic.twitter.com/ewlYmhKn1P",2020-01-16 06:52:38,/ScottMorrisonMP/status/1217701175430017025,1393,163,No,,
31,Australia,"A quick update. 46,877 claims for Federal Gov Disaster Recovery Payments have been paid, totalling $55.8m in assistance. This includes payments for 23,101 children. From Monday, an additional $400 will be paid to families for these children as many prepare to go back to school.",2020-01-18 00:01:30,/ScottMorrisonMP/status/1218322485738782721,1391,189,No,,
32,Australia,"A quick update on the deployment of our defence forces on Operation Bushfire Assist. 3,449 permanent ADF and 2,966 reservists are now directly supporting operations in NSW, Victoria, SA and Tasmania.pic.twitter.com/QP4oFxC2ja",2020-01-19 00:28:23,/ScottMorrisonMP/status/1218691640153391104,818,117,No,,
33,Australia,"Tourism businesses, employees and fire-affected communities around the country will receive much needed support from the Government’s National Bushfire Recovery Fund, through our $76m tourism recovery package. This will help protect jobs, small businesses and local economies.pic.twitter.com/ZortrVnoJ7",2020-01-19 04:52:32,/ScottMorrisonMP/status/1218758113022504960,809,132,No,,
34,Australia,"Small businesses in bushfire affected areas are doing it tough. Today we announced grants of $50,000 and a suite of other immediate measures to support them. Whatever it takes and whatever it costs, we’re going to help these regions to recover and rebuild. http://aus.pm/tl4u ",2020-01-19 23:16:31,/ScottMorrisonMP/status/1219035938560475136,903,140,No,,
35,Australia,"Congratulations to Peter Gutwein on being sworn in today as Tasmania’s new Premier, taking over from @WillHodgman. I have spoken to Peter today to wish him all the best.",2020-01-20 08:34:46,/ScottMorrisonMP/status/1219176429587333120,455,49,No,,
36,Australia,"This afternoon I was briefed by the Chief Medical Officer Prof Brendan Murphy on the coronavirus detected in China’s Wuhan area. The CMO has advised that while the current risk level is low, precautions are being taken to protect Australians.",2020-01-21 05:56:50,/ScottMorrisonMP/status/1219499072375017474,718,135,Yes,Action,Message that the government is working
37,Australia,"Update on coronavirus situation. I’m advised by the Chief Medical Officer the risk of transmission in Australia remains low, however the situation is evolving.",2020-01-22 00:15:42,/ScottMorrisonMP/status/1219775608298692608,477,74,Yes,Action,Message that the government is working
38,Australia,Thank you. Thank you so much to all our friends who have stepped up to help us in our time of need.https://twitter.com/DeptDefence/status/1219816846225895425 …,2020-01-22 04:15:35,/ScottMorrisonMP/status/1219835976945504256,1491,282,No,,
39,Australia,"Good news that 28,900 new jobs were created last month, bringing the number of jobs created since we came into government to over 1.5 million. The unemployment rate is at 5.1% and the level is now lower than at the 2019, 2016 and 2013 election.",2020-01-23 03:17:29,/ScottMorrisonMP/status/1220183743639343104,2043,285,No,,
40,Australia,"Deeply saddened to learn of the death of 3 people in the crash of a C130 fire fighting aircraft, north east of Cooma in NSW earlier today. My deepest condolences to the loved ones, friends and colleagues of those who have lost their lives. Such a terrible tragedy.",2020-01-23 06:05:01,/ScottMorrisonMP/status/1220225906775486464,2977,335,No,,
41,Australia,Thank you Julia for your condolences. Our family greatly appreciates your kind wishes.,2020-01-23 07:54:41,/ScottMorrisonMP/status/1220253505811697664,2123,74,No,,
42,Australia,"On behalf of the Australian people, I express our deepest condolences on the tragic loss of 3 US firefighters in yesterday's Large Air Tanker crash that occurred while they were fighting the terrible Australian #bushfires.",2020-01-23 22:38:16,/ScottMorrisonMP/status/1220475866263646209,1304,195,No,,
43,Australia,Update on Coronavirus pic.twitter.com/Ol8DRQtVQJ,2020-01-25 06:02:56,/ScottMorrisonMP/status/1220950159086911493,550,191,Yes,Action,Announcing set of actions / guidelines
44,Australia,These terrible bushfires have taken a big toll on Australia but it’s heart-warming to see how Australians are coming together to support and help each other get through. Australia really is the best place in the world to live.https://twitter.com/AlanTudgeMP/status/1220917604417556480 …,2020-01-25 07:01:31,/ScottMorrisonMP/status/1220964900526161920,849,154,No,,
45,Australia,"Congratulations to the 2020 Australian of the Year Dr James Muecke. His passionate and selfless commitment to preventing blindness and tackling diabetes here at home and around the world is changing lives. You are a true inspiration.

#AusoftheYearpic.twitter.com/EJVYiddA9J",2020-01-25 12:15:37,/ScottMorrisonMP/status/1221043947889315841,556,70,No,,
46,Australia,We will formally recognise and honour our brave emergency service personnel and volunteers who have given significant service to fighting these terrible bushfires with a National Emergency Medal.https://twitter.com/dailytelegraph/status/1221179810359148545 …,2020-01-25 22:01:37,/ScottMorrisonMP/status/1221191420465184768,594,101,No,,
47,Australia,"Despite the many challenges we face, especially the terrible bushfires, the drought & the floods, today is when we can reflect upon & celebrate our great nation. Today we can all come together as one & give thanks for being Australian. Happy Australia Day!https://bit.ly/36tJtui ",2020-01-25 22:42:50,/ScottMorrisonMP/status/1221201792265908224,2168,332,No,,
48,Australia,Today Abbey & Lily joined me to lay a wreath at our National Emergency Services Memorial to thank all those giving so much in response to the terrible natural disasters that have impacted our nation. We also remember the brave firefighters who lost their lives fighting the fires.pic.twitter.com/S8zBrDfUt8,2020-01-26 01:39:04,/ScottMorrisonMP/status/1221246142312144896,1269,153,No,,
49,Australia,"The Holocaust is one of the darkest chapters in all of human history, a story of despicable inhumanity that must never be forgotten or diminished by the passing of time. 

That is why we will remember – today, tomorrow and always.https://twitter.com/JoshFrydenberg/status/1221530040766124032 …",2020-01-27 00:32:31,/ScottMorrisonMP/status/1221591783605334016,1794,359,No,,
50,Australia,"Please remember to keep updated on the current emergency warnings for #Canberra and stay safe.

https://esa.act.gov.au/emergency-warning-orroral-valley-fire …",2020-01-28 10:01:24,/ScottMorrisonMP/status/1222097333019561990,400,64,No,,
51,Australia,A beautiful story to emerge from the devastating bushfires.https://twitter.com/lindareynoldswa/status/1222385536171511808 …,2020-01-29 10:23:24,/ScottMorrisonMP/status/1222465259975344129,963,140,No,,
52,Australia,"Today NSW Premier @GladysB and I signed a landmark agreement between our two governments to lower power prices, reduce emissions and get more gas into our energy supply.

On Wednesday I said we need to get the gas and today we have announced a landmark agreement to get the gas.pic.twitter.com/Q55UavOlEa",2020-01-30 22:28:59,/ScottMorrisonMP/status/1223010244697083904,1035,152,No,,
53,Australia,All Australians who were on our flight out of Wuhan have arrived safely. 241 have now been transferred to Christmas Island and are being well looked after. A pregnant woman and her partner have been transferred to Perth and are in isolation there.,2020-02-04 00:25:11,/ScottMorrisonMP/status/1224489041057312768,819,123,Yes,Action,Announcing set of actions / guidelines
54,Australia,"Today, I've written to the Premiers and Chief Minister to seek their feedback on draft terms of reference for a Royal Commission into National Natural Disaster Arrangements, following the terrible bushfires.",2020-02-04 03:23:29,/ScottMorrisonMP/status/1224533909888569344,597,101,No,,
55,Australia,"Today on #WorldCancerDay, we acknowledge all those who are in the fight of their lives and remember those who lost their battle. Our Government is committed to ensuring Australians get access to the best cancer medicines, treatments and care.https://twitter.com/CancerCouncilOz/status/1224488788661096448 …",2020-02-04 08:35:14,/ScottMorrisonMP/status/1224612365884260353,269,42,No,,
56,Australia,We need to do more than a Royal Commission that looks at the past. That’s why we’re establishing a national and permanent rolling Commission into veteran suicide and its prevention with the full powers of a Royal Commission.https://twitter.com/bennyglish/status/1224651629401559040 …,2020-02-04 18:28:04,/ScottMorrisonMP/status/1224761555197157376,415,78,No,,
57,Australia,Our veterans and all serving men and women protect our community and our freedoms. It is our duty to do the same for them.https://twitter.com/TheTodayShow/status/1224795699554013186 …,2020-02-04 21:22:54,/ScottMorrisonMP/status/1224805555253862400,304,64,No,,
58,Australia,One of the heart-breaking things about the devastating bushfires has been the toll they've taken on our beloved native wildlife. Today I met with the Threatened Species Commissioner & the Environment Minister to get an update on efforts to protect & treat injured wildlife.pic.twitter.com/OdisVzJcfX,2020-02-05 04:10:37,/ScottMorrisonMP/status/1224908157782089729,515,79,No,,
59,Australia,Caught up with @AlanJones on @2GB873 today to discuss our ongoing response to Coronavirus to keep Australians safe and our announcement of a rolling Commission into veteran suicide and causes to help save lives. #Listen to the full interview https://www.2gb.com/scott-morrison-confirms-australias-plans-for-mass-coronavirus-outbreak/ …,2020-02-06 00:34:04,/ScottMorrisonMP/status/1225216051299766272,519,90,Yes,Action,Message that the government is working
60,Australia,A further 36 Australian citizens and residents who were on the Air New Zealand flight out of Wuhan have now arrived safely on Christmas Island. Thank you to all those who were involved in this operation.,2020-02-06 02:01:30,/ScottMorrisonMP/status/1225238055499358209,593,71,Yes,Action,Announcing set of actions / guidelines
61,Australia,.@A_Sinodinos will be a fantastic Ambassador to the US. The US and @realDonaldTrump are great mates to Australia.https://twitter.com/AusintheUS/status/1225585100672372736 …,2020-02-08 01:54:04,/ScottMorrisonMP/status/1225960960273178624,1269,186,No,,
62,Australia,Wonderful to welcome our good friend and great neighbour President @jokowi from Indonesia. After lunch the Governor-General took the President on a Roo tour where we spotted quite a few. We’ll be catching up for an informal dinner tonight before official engagements tomorrow.pic.twitter.com/UV8U96ucWV,2020-02-09 04:05:15,/ScottMorrisonMP/status/1226356361589510144,2587,267,No,,
63,Australia,Some great news. Thank you to all those who’ve been involved in fighting these fires.https://twitter.com/NSWRFS/status/1226731913378840577 …,2020-02-10 08:37:54,/ScottMorrisonMP/status/1226787361989677057,1519,236,No,,
64,Australia,"Glad to hear you're okay, mate. Get better soon.https://twitter.com/DarrenChesterMP/status/1227396935507570689 …",2020-02-12 01:07:08,/ScottMorrisonMP/status/1227398699631828992,278,28,No,,
65,Australia,Great to catch up with @ABCaustralia Chair @ItaButtrose this morning. Joined also by Minister @PaulFletcherMP and ABC MD David Anderson. Rural and regional services were a key focus of our discussion. So pleased Ita took on this job.pic.twitter.com/VaoXSAYcYX,2020-02-12 23:55:31,/ScottMorrisonMP/status/1227743063788806147,521,74,No,,
66,Australia,"Some positive news with the first group of over 200 Australian citizens and permanent residents we helped get out of Wuhan leaving Christmas Island today to head home after completing the quarantine period recommended by our health experts, without anyone developing Coronavirus.pic.twitter.com/bGqLDAv9An",2020-02-17 07:17:16,/ScottMorrisonMP/status/1229303784586665984,602,90,Yes,Action,Message that the govt. is tackling the crisis well
67,Australia,"Today we've agreed to bring home over 200 Australians on the Diamond Princess in Japan, with an assisted departure flight to get them back to Australia this Wednesday. Once home, they'll be quarantined and cared for just outside of Darwin for 14 days.https://www.news.com.au/national/govt-to-provide-departure-flights-for-australians-on-diamond-princess-cruise-ship/video/2340e867cb0dd74d00abbff09e9885a7 …",2020-02-17 08:15:03,/ScottMorrisonMP/status/1229318325294944256,780,131,Yes,Action,Message that the government is working
68,Australia,Our Government is fast-tracking $2 million funding to support Australia's best researchers to help develop a coronavirus vaccine  http://aus.pm/7rx5 pic.twitter.com/yjUM4XWqTQ,2020-02-18 02:57:41,/ScottMorrisonMP/status/1229600848914698240,557,123,Yes,Action,Message that the government is working
69,Australia,"Excited to open the @AusSpaceAgency HQ in Adelaide today. Our space strategy is central to our Government’s plan to secure more jobs for Australians, with our goal to triple the size of the sector in Australia to $12 billion and add an extra 20,000 jobs by 2030.https://twitter.com/AusSpaceAgency/status/1229882192681000961 …",2020-02-19 04:29:05,/ScottMorrisonMP/status/1229986234887364608,709,129,No,,
70,Australia,"Devastating news out of Camp Hill. My heart goes out to the families and community going through this tragic time and the emergency responders confronting what would be a shattering scene. If you or anyone you know needs support, call Lifeline on 13 11 14.https://www.brisbanetimes.com.au/national/queensland/injuries-after-brisbane-car-set-alight-in-camp-hill-20200219-p54289.html …",2020-02-19 05:09:52,/ScottMorrisonMP/status/1229996499439742976,782,114,No,,
71,Australia,Just before Christmas I visited Barristers Block in the Adelaide Hills. Their vineyard had been devastated by bushfire a few days earlier. They’re now getting back on their feet. Still a lot of work to do in the recovery but lovely to see them feeling positive about their future.pic.twitter.com/LHZQidYAJZ,2020-02-19 07:35:40,/ScottMorrisonMP/status/1230033189843783680,882,100,No,,
72,Australia,"More good news that today the next group of more than 30 people we helped get out of Wuhan left Christmas Island to head home, the last of those who were quarantined there. All of them have been declared free of Coronavirus.pic.twitter.com/SrYvQIflTB",2020-02-19 08:23:04,/ScottMorrisonMP/status/1230045120134668288,392,67,Yes,Action,Message that the govt. is tackling the crisis well
73,Australia,"Earlier today our flight from Japan with 170 passengers who had been on board the Diamond Princess arrived in Darwin. Those people have now been moved to the Howard Springs facility for 14 days of quarantine, where they will be cared for by AUSMAT staff.pic.twitter.com/c7jddylSKS",2020-02-20 06:21:28,/ScottMorrisonMP/status/1230376908455469062,384,47,Yes,Action,Announcing set of actions / guidelines
74,Australia,"The protection and safety of Australians is our highest priority. Today the National Security Committee of Cabinet decided, based on expert medical advice regarding the #coronavirus outbreak, it was necessary to continue the Chinese travel ban for a further week to 29 February.",2020-02-20 06:34:30,/ScottMorrisonMP/status/1230380188527030272,1344,244,Yes,Action,Announcing set of actions / guidelines
75,Australia,Awful news. Our hearts go out to the family and friends of those who lost their lives. We hope for a speedy recovery for those injured and thank all those who helped at the scene.https://www.sbs.com.au/news/driver-worker-killed-in-horrific-sydney-to-melbourne-train-crash …,2020-02-20 20:59:59,/ScottMorrisonMP/status/1230597991821541376,628,100,No,,
76,Australia,"This morning I warmly welcomed @PresidentRuvi of Israel to Parliament House. Australia and Israel have the deepest of friendships, and it was a welcome opportunity to reaffirm and deepen this partnership.pic.twitter.com/oDKR7DagHK",2020-02-26 04:31:08,/ScottMorrisonMP/status/1232523467595010048,623,117,No,,
77,Australia,.@karenandrewsmp and I met with @AADA_ASN and Holden dealers today. General Motors has said they will provide compensation to dealers. The Government will be supporting these dealers by watching very closely to see that they get a fair deal.pic.twitter.com/eByh8FtcEL,2020-02-26 05:26:05,/ScottMorrisonMP/status/1232537295397388290,285,45,No,,
78,Australia,"Our highest priority is keeping Australians safe. Today the National Security Committee of Cabinet decided, based on expert medical advice regarding the #coronavirus outbreak, to introduce new travel restrictions and update the travel advice for Iran.",2020-02-29 08:22:19,/ScottMorrisonMP/status/1233668810202238976,1645,276,Yes,Action,Announcing set of actions / guidelines
79,Australia,"Am very saddened at the death of an elderly Australian man from Perth, who contracted COVID-19 and we evacuated from the Diamond Princess in Japan. We join his family and friends in mourning his passing. COVID-19 is especially more severe for older people with other frailties.",2020-03-01 03:15:38,/ScottMorrisonMP/status/1233954019724316672,1121,146,Yes,Other,Mourning the loss of lives
80,Australia,"Our highest priority remains the safety of Australians. Today the National Security Committee of Cabinet decided, based on expert medical advice regarding the #coronavirus outbreak, to introduce new travel restrictions and to update the travel advice for the Republic of Korea.pic.twitter.com/hnLZ9eSBld",2020-03-05 03:02:52,/ScottMorrisonMP/status/1235400358668591106,698,143,Yes,Action,Announcing set of actions / guidelines
81,Australia,Hey @narendramodi - Australia v India in the final of the Women’s @T20WorldCup in Melbourne tomorrow. Two great teams in front of a mega crowd at the MCG. It’s going to be a big night and superb match! And Australia all the way.,2020-03-07 08:35:02,/ScottMorrisonMP/status/1236208726924603392,20712,2436,No,,
82,Australia,"An amazing night at the G. A record 86,174 there to watch Meg Lanning and the Aussies bringing home a fifth women’s title on Int’l womens day. Congrats to Alyssa Healy and Beth Mooney on stunning performances. Commiserations to India, have no doubt that @narendramodi is proud.",2020-03-08 10:42:05,/ScottMorrisonMP/status/1236603087151759366,1777,148,No,,
83,Australia,We’re ensuring our health system is well-prepared and has the resources it needs for our fight against #coronavirus to keep Australians safe. Our $2.4 billion health package includes pop-clinics and free video or phone consultations with GPs.https://www.abc.net.au/news/2020-03-11/how-government-plans-to-spend-billions-protecting-coronavirus/12044192 …,2020-03-10 22:05:52,/ScottMorrisonMP/status/1237499941494243328,690,161,Yes,Action,Announcing set of actions / guidelines
84,Australia,"Our highest priority remains the safety of Australians. Today, based on expert advice on #coronavirus, we’re implementing travel restrictions for foreign nationals who are in or have been through Italy. This is consistent with those in place for China, Iran and Republic of Korea.pic.twitter.com/QVW26sY6tV",2020-03-11 01:15:46,/ScottMorrisonMP/status/1237547730433527810,727,144,Yes,Action,Announcing set of actions / guidelines
85,Australia,"Our $17.6 billion economic plan in response to #coronavirus is about keeping Australians in jobs, keeping businesses in business and supporting households to ensure we bounce back stronger on the other side. See details  http://aus.pm/9vpi pic.twitter.com/ra6IXRI4A5",2020-03-12 01:29:10,/ScottMorrisonMP/status/1237913491295440896,603,135,Yes,Action,Announcing set of actions / guidelines
86,Australia,"Following confirmation the Minister for Home Affairs @PeterDutton_MP has tested positive for coronavirus, he has been isolated according to the policies of Queensland Health.

Queensland Health will undertake the appropriate contact tracing.",2020-03-13 08:27:00,/ScottMorrisonMP/status/1238381030685290496,1074,247,Yes,Other,Update on important people contracting the virus
87,Australia,"Today we remember all those who lost their lives in the horrific terrorist attacks in Christchurch. This week in Sydney I met again with the incredibly brave Farid Ahmed, whose wife was murdered by the terrorist and he continues his amazing testimony of forgiveness and peace.",2020-03-14 22:15:12,/ScottMorrisonMP/status/1238951840634425345,1505,153,No,,
88,Australia,Great news @PeterDutton_MP. Take care of yourself.,2020-03-17 05:54:12,/ScottMorrisonMP/status/1239792128722493443,658,23,Yes,Other,Update on important people contracting the virus
89,Australia,We’re acting to cushion the blow to Australian businesses and the workforce from #coronavirus to get them through to the other side of the crisis with a $189 billion support package. http://aus.pm/1byi ,2020-03-22 01:13:28,/ScottMorrisonMP/status/1241533421425266688,1967,284,Yes,Action,Announcing set of actions / guidelines
90,Australia,"Some important new restrictions tonight as we step up our fight against the #coronavirus.

From midday tomorrow (23 March), the National Cabinet has agreed to move to more widespread restrictions on social gatherings  http://aus.pm/8ao4 ",2020-03-22 12:10:06,/ScottMorrisonMP/status/1241698667460841473,1011,238,Yes,Action,Announcing set of actions / guidelines
91,Australia,"This is why social distancing is so important. Please listen and act so we can save lives and livelihoods.

#coronavirusaustralia #Covid_19australia #COVIDー19pic.twitter.com/S7ASlqx1AF",2020-03-23 01:16:24,/ScottMorrisonMP/status/1241896544791482369,5372,2494,Yes,Request,Reminder to follow rules / guidelines
92,Australia,"Our health professionals will be at the frontline of our fight against #coronavirus over the next few months. A heartfelt thank you from all Australians for everything you are doing, and will do. 

We are doing everything we can to #flattenthecurve to ease the burden on you.pic.twitter.com/JdKbEM4jfl",2020-03-23 08:31:40,/ScottMorrisonMP/status/1242006084287528960,2572,449,Yes,Positivity,Thanking healthcare workers
93,Australia,This text message is being sent to mobile phones across Australia from this morning. Please listen and act so we can save lives.https://twitter.com/ausgov/status/1242556931379793921 …,2020-03-24 22:35:04,/ScottMorrisonMP/status/1242580721954242560,2377,546,Yes,Request,Reminder to follow rules / guidelines
94,Australia,pic.twitter.com/t89vgWCndn,2020-03-25 21:19:27,/ScottMorrisonMP/status/1242924079717289985,937,189,Yes,Action,Announcing set of actions / guidelines
95,Australia,Take care @BorisJohnson from all of us over here in Oz. Thinking of you and all our UK friends as we work together to get through this.,2020-03-27 11:38:18,/ScottMorrisonMP/status/1243502604623261696,8465,691,Yes,International,Sending best wishes
96,Australia,An important message . Thank you to all our ambulance staff across the country for everything you’re doing. We are all in this together.https://twitter.com/NSWAmbulance/status/1244154541764825088 …,2020-03-29 09:15:58,/ScottMorrisonMP/status/1244191559626571776,2549,402,Yes,Positivity,Thanking healthcare workers
97,Australia,"Our $130 billion JobKeeper plan will help keep Australians in jobs, providing around 6 million workers with a wage subsidy of $1500 a fortnight through their employer. It's open to businesses that receive a significant financial hit due to #coronavirus  http://aus.pm/l3lg ",2020-03-30 08:31:23,/ScottMorrisonMP/status/1244542729482153984,2120,318,Yes,Action,Announcing set of actions / guidelines
98,Australia,"As of 8am today, over 113,000 Australian businesses have registered their interest in the new #JobKeeper wage subsidy of $1500 per fortnight for each employee. Our $130 billion plan is all about keeping Australians in jobs while we deal with this #coronavirus crisis.",2020-03-30 21:40:50,/ScottMorrisonMP/status/1244741401599856641,2700,363,Yes,Action,Message that the govt. is tackling the crisis well
99,Australia,"Over $1.1 billion in Federal Government assistance for lower income Australians will hit bank accounts today. The first $750 payment will be paid automatically from today and progressively to those over 6.8 million people eligible for it, including pensioners, over coming weeks.",2020-03-31 00:42:18,/ScottMorrisonMP/status/1244787068061880321,1666,264,Yes,Action,Announcing set of actions / guidelines
100,Australia,"Today I spoke to Canadian PM @JustinTrudeau to swap notes and discuss how they’re managing the #coronavirus outbreak in terms of the twin health and economic crises as well as managing borders, supply chains and critical medical and other needs.",2020-03-31 02:13:36,/ScottMorrisonMP/status/1244810044698288128,2286,163,Yes,International,Discussion with leaders and call for international effort
101,Australia,"As of 8am today, nearly 370,000 Australian businesses have registered interest in the #JobKeeper wage subsidy of $1500 a fortnight for each employee. Our $130 billion plan is all about keeping Australians in jobs so businesses can bounce back quickly once the #coronavirus passes.",2020-03-31 22:22:59,/ScottMorrisonMP/status/1245114396155596801,2726,357,Yes,Action,Message that the govt. is tackling the crisis well
